movieId,title,avgVote,releaseYear,genres
10586,The Ghost and the Darkness,7.300000,1996,Action:Adventure:Drama:History:Thriller
2300,Space Jam,6.300000,1996,Animation:Comedy:Drama:Fantasy:Family:Sports Film
11969,Tombstone,7.000000,1993,Action:Adventure:Drama:History:Western
8271,Disturbia,6.400000,2007,Drama:Mystery:Thriller
230896,Iron Man & Hulk: Heroes United,5.600000,2013,Action:Adventure:Animation
64202,Batman Beyond: The Movie,7.900000,1999,Action:Animation:Family
10061,Escape from L.A.,6.000000,1996,Action:Adventure:Science Fiction:Thriller
680,Pulp Fiction,7.700000,1994,Crime:Thriller
10192,Shrek Forever After,5.800000,2010,Adventure:Animation:Comedy:Fantasy:Family
12102,Kramer vs. Kramer,7.800000,1979,Drama
38448,Ondine,6.300000,2009,Drama:Romance
8373,Transformers: Revenge of the Fallen,6.200000,2009,Action:Adventure:Science Fiction
78571,Being Flynn,5.600000,2012,Drama
159037,The Square,8.300000,2013,Documentary:Drama:History
15876,The Enemy Below,8.200000,1957,Action:Adventure:Drama:History:Thriller:War
65759,Happy Feet Two,6.000000,2011,Animation
63686,Thor: Tales of Asgard,6.700000,2011,Action:Adventure:Animation
13151,Scooby-Doo on Zombie Island,7.800000,1998,Animation:Comedy:Mystery:Family
96714,Diaz: Don't Clean Up This Blood,6.600000,2012,Drama
8859,"Dude, Where’s My Car?",5.400000,2000,Comedy
16558,Duplicity,5.900000,2009,Thriller
32085,Vincent,8.400000,1982,Animation:Drama:Fantasy:Short
127884,Come Out and Play,5.000000,2012,Horror
1586,Secret Window,6.400000,2004,Mystery:Thriller
15143,Some Kind of Wonderful,7.500000,1987,Drama:Romance
6537,The Orphanage,6.800000,2007,Drama:Mystery:Thriller
29920,Easy Money,7.300000,2010,Crime:Drama:Thriller
48625,Macross Frontier: The False Songstress,7.800000,2009,Animation:Drama:Science Fiction:Romance:War
82525,Savages,5.900000,2012,Crime:Drama:Thriller
60670,The Crimson Rivers,6.600000,2000,Crime:Mystery:Thriller
11881,Miracle on 34th Street,6.700000,1947,Comedy:Drama:Fantasy:Holiday:Family
16161,Baby Boy,7.000000,2001,Comedy:Crime:Drama
28808,Detective Conan: The Last Wizard of the Century,7.600000,1999,Animation:Thriller
19933,The Brave Little Toaster,6.800000,1987,Adventure:Animation:Comedy:Family
79120,Weekend,7.900000,2011,Drama:Romance:Foreign
8386,How High,7.500000,2001,Comedy
77883,The Possession,5.800000,2012,Horror:Thriller
25472,Merry Madagascar,6.400000,2009,Animation:Holiday:Family:Short
3558,"Girl, Interrupted",7.400000,1999,Drama
